Fecha,TCN
01-03-2020,839.38
01-04-2020,853.38
01-05-2020,821.81
01-06-2020,793.72
01-07-2020,784.73
01-08-2020,784.66
01-09-2020,773.4
01-10-2020,788.27
01-11-2020,762.88
01-12-2020,734.73
01-01-2021,723.56
01-02-2021,722.63
01-03-2021,726.37
01-04-2021,707.85
01-05-2021,712.26
01-06-2021,726.54
01-07-2021,750.44
01-08-2021,779.83
01-09-2021,783.63
01-10-2021,813.95
