Fecha,IPeCo,Índice Coyuntural,Índice Expectativas,Situación Enconómica Actual,Desempleo Actual,Situación Económica Futura,Desempleo Futuro,Ingreso Futuro,IPeCo (m3)
01-09-2013,133.71,173.04,119.72,143.69,238.71,114.9,146.78,107.16,132.49
01-10-2013,132.18,180.35,114.96,141.74,265.46,113.24,130.22,106.89,131.18
01-11-2013,128.82,169.76,114.23,135.85,244.84,111.72,126.55,108.84,131.57
01-12-2013,131.18,174.35,115.78,149.33,231.03,115.26,123.43,111.4,130.73
01-01-2014,135.33,180.99,119.04,153.2,243.62,116.58,135.5,110.93,131.78
01-02-2014,128.18,171.27,112.8,128.87,264.03,112.17,120.41,108.55,131.56
01-03-2014,127.44,165.72,113.81,135.65,232.69,114.58,128.91,103.38,130.32
01-04-2014,120.33,157.52,107.08,124.62,230.15,105.87,112.23,104.99,125.31
01-05-2014,125.97,160.09,113.85,134.4,217.8,110.59,128.1,107.95,124.58
01-06-2014,118.67,139.93,111.21,127.32,169.87,106.5,130.36,103.62,121.65
01-07-2014,123.79,153.21,113.38,130.38,204.78,109.86,124.65,109.66,122.81
01-08-2014,119.33,147.62,109.32,139.1,169.27,111.77,109.72,106.63,120.6
01-09-2014,112.44,133.32,105.11,136.16,130.95,114.17,83.95,109.7,118.52
01-10-2014,93.94,92.02,94.86,99.36,79.21,98.62,84.55,97.72,108.57
01-11-2014,99.82,119.55,92.88,125.61,110.12,106.51,67.82,95.42,102.07
01-12-2014,96.24,116.44,89.11,139.84,70.87,95.41,74.24,92.4,96.67
01-01-2015,105.13,106.4,104.91,111.15,99.36,105.52,98.91,108.15,100.4
01-02-2015,103.47,99.21,105.27,99.36,101.54,105.2,114.32,99.53,101.61
01-03-2015,109.51,125.34,104.01,119.46,140.89,106.5,102.86,102.29,106.04
01-04-2015,98.79,96.03,100.03,95.77,99.14,98.27,88,109.47,103.93
01-05-2015,103.91,106.77,103.12,108.39,106.24,112.74,85.41,104.92,104.07
01-06-2015,98.67,93.89,100.64,108.03,66.98,110.15,74.91,107.69,100.46
01-07-2015,99,109.95,95.25,107.29,118.4,95.36,89.59,98.77,100.53
01-08-2015,88.58,88.2,88.93,86.45,94.2,91.56,78.53,92.97,95.42
01-09-2015,100.33,104.8,98.94,102.41,112.56,103.93,86.14,102.19,95.97
01-10-2015,132.12,153.54,124.64,135.17,195.83,117.21,148.34,116.83,107.01
01-11-2015,93.56,102.12,90.66,107.09,94.49,93.06,73.27,99.42,108.67
01-12-2015,105.06,123.19,98.71,97.65,179.6,93.46,98.48,104.06,110.24
01-01-2016,100.09,105.06,98.52,84.36,150.93,101.81,91.66,99.65,99.57
01-02-2016,89.61,64.61,98.92,80.33,33.61,102.63,77.68,108.86,98.25
01-03-2016,99.44,105.31,97.54,105.28,108.16,96.38,88.67,104.36,96.38
01-04-2016,90.95,74.54,97.13,88.62,47.25,97.85,82.37,105.87,93.33
01-05-2016,97,88.15,100.44,95.6,74.98,99.63,105.21,98.19,95.79
01-06-2016,106.02,101.6,107.88,101.71,104.08,101.92,113.05,110.48,97.95
01-07-2016,95.47,96.1,95.47,88.66,114.13,91.91,90.64,102.1,99.46
01-08-2016,97.12,103.89,94.88,100.53,113.64,77.25,107,104.61,99.54
01-09-2016,92.47,96.49,91.23,92.81,106.69,89.88,92.29,91.88,95.02
01-10-2016,95.15,113.91,88.55,110.4,124.24,89.09,78.74,94.29,94.91
01-11-2016,102.68,109.53,100.43,115.65,99.71,91.91,94.06,112.95,96.77
01-12-2016,110.97,127.71,105.14,133.07,119.94,103.17,117.79,99,102.93
01-01-2017,111.26,129.43,104.91,127.86,136.15,97.21,123.11,100.89,108.3
01-02-2017,99.88,116.73,93.99,97.9,159.01,90.4,103.63,91.36,107.37
01-03-2017,104.96,122.93,98.67,125.35,121.17,90.46,103.41,103.78,105.37
01-04-2017,102.97,111.17,100.24,120.76,94.17,96.6,116,93.73,102.61
01-05-2017,102.93,110.17,100.54,121.53,89.47,94.58,124.29,91.24,103.62
01-06-2017,128.48,150.98,120.6,140.69,176.43,109.9,149.15,112.93,111.46
01-07-2017,108.26,128.24,101.25,132.48,122.84,93.76,102.23,108.05,113.23
01-08-2017,106.89,118.81,102.81,115.12,129.65,90.23,118.72,105.09,114.55
