Fecha,IEC Coyuntura,IEC Coyuntura (m3),IEC Coyuntura (m12),
01-08-2018,150.5,134.5,114.6,
01-09-2018,149.0,151.1,117.3,
01-10-2018,113.4,137.6,117.1,
01-11-2018,151.0,137.8,119.9,
01-12-2018,173.3,145.9,122.8,
01-01-2019,142.0,155.4,126.5,
01-02-2019,137.1,150.8,130.8,
01-03-2019,132.1,137.0,133.3,
01-04-2019,159.4,142.8,138.6,
01-05-2019,173.3,154.9,144.5,
01-06-2019,203.3,178.7,153.2,
01-07-2019,162.6,179.7,153.9,
01-08-2019,271.4,212.4,164.0,
01-09-2019,206.2,213.4,168.7,
01-10-2019,220.0,232.5,177.6,
01-11-2019,376.6,267.6,196.4,
01-12-2019,413.4,336.7,216.4,
01-01-2020,335.7,375.2,232.6,
01-02-2020,347.1,365.4,250.1,
01-03-2020,367.5,350.1,269.7,
01-04-2020,383.7,366.1,288.4,
01-05-2020,334.2,361.8,301.8,
01-06-2020,316.2,344.7,311.2,
01-07-2020,305.0,318.5,323.1,
01-08-2020,238.4,286.5,320.3,
01-09-2020,238.0,260.5,323.0,
01-10-2020,269.1,248.5,327.1,
01-11-2020,313.5,273.6,321.8,
01-12-2020,246.3,276.3,307.9,
01-01-2021,329.6,296.5,307.4,
01-02-2021,220.1,265.3,296.8,
