Fecha,imacec
01-02-2014,3.338921452
01-03-2014,2.977752791
01-04-2014,1.365118167
01-05-2014,2.000734022
01-06-2014,1.003099558
01-07-2014,0.46455715
01-08-2014,0.164518021
01-09-2014,2.446753807
01-10-2014,1.883862545
01-11-2014,1.059004045
01-12-2014,2.400775181
01-01-2015,2.625278257
01-02-2015,2.035147486
01-03-2015,2.152828762
01-04-2015,2.86804032
01-05-2015,1.535980346
01-06-2015,2.832462879
01-07-2015,2.392354258
01-08-2015,1.788845255
01-09-2015,2.699530498
01-10-2015,1.552486167
01-11-2015,2.59000521
01-12-2015,2.573051237
01-01-2016,1.40936918
01-02-2016,4.547294872
01-03-2016,3.01885587
01-04-2016,0.653173641
01-05-2016,1.946657536
01-06-2016,1.202660857
01-07-2016,0.698505066
01-08-2016,3.151895165
01-09-2016,1.462204338
01-10-2016,0.110001337
01-11-2016,1.758237882
01-12-2016,0.856919498
01-01-2017,0.98201855
01-02-2017,-1.94656675
01-03-2017,-0.234948097
01-04-2017,-0.711553303
01-05-2017,1.192014832
01-06-2017,0.747559552
01-07-2017,2.119807615
01-08-2017,2.130588744
01-09-2017,1.452693885
01-10-2017,2.996306632
01-11-2017,2.969287816
01-12-2017,2.288933256
01-01-2018,4.06622797
01-02-2018,4.719550964
01-03-2018,4.612791196
01-04-2018,6.359384718
01-05-2018,4.26543823
01-06-2018,4.155270133
01-07-2018,3.104892383
01-08-2018,2.398608998
01-09-2018,1.695833962
01-10-2018,3.577308294
01-11-2018,2.810215483
01-12-2018,2.931371075
01-01-2019,1.616890689
01-02-2019,0.503934726
01-03-2019,1.191487535
01-04-2019,1.413406944
01-05-2019,1.939722018
01-06-2019,1.059180947
01-07-2019,2.988714952
01-08-2019,3.809072389
01-09-2019,3.397197393
01-10-2019,-3.494155535
01-11-2019,-3.941819531
01-12-2019,1.43137502
01-01-2020,1.294802452
01-02-2020,3.231753939
01-03-2020,-3.536601888
01-04-2020,-13.81832972
01-05-2020,-15.31430779
01-06-2020,-13.58431153
01-07-2020,-11.24989645
01-08-2020,-10.90081486
01-09-2020,-4.756740823
01-10-2020,-0.915587313
01-11-2020,0.978117505
01-12-2020,-0.071983268
01-01-2021,-2.931076689
01-02-2021,-2.080373852
01-03-2021,5.770488109
01-04-2021,14.05228717
