Fecha,EPU
01-12-2010,75.36769867
01-01-2011,45.18592834
01-02-2011,53.73655319
01-03-2011,89.13530731
01-04-2011,80.51205444
01-05-2011,57.87670517
01-06-2011,85.11424255
01-07-2011,108.9652328
01-08-2011,156.2464905
01-09-2011,89.67692566
01-10-2011,108.2352524
01-11-2011,116.7174454
01-12-2011,174.387085
01-01-2012,101.1902771
01-02-2012,63.67459106
01-03-2012,94.25382996
01-04-2012,90.50003052
01-05-2012,114.828949
01-06-2012,139.5036163
01-07-2012,104.0184479
01-08-2012,85.3920517
01-09-2012,86.33992004
01-10-2012,68.25163269
01-11-2012,98.84762573
01-12-2012,146.4833984
01-01-2013,103.5130005
01-02-2013,82.11314392
01-03-2013,70.89022064
01-04-2013,68.9395752
01-05-2013,78.19818878
01-06-2013,147.7947693
01-07-2013,128.6874084
01-08-2013,98.1760025
01-09-2013,78.45075989
01-10-2013,98.40614319
01-11-2013,108.0075455
01-12-2013,134.9224091
01-01-2014,86.90003204
01-02-2014,88.356987
01-03-2014,119.4911804
01-04-2014,129.5172729
01-05-2014,117.4437485
01-06-2014,140.8798828
01-07-2014,160.1059875
01-08-2014,235.0744324
01-09-2014,202.5531311
01-10-2014,148.0623169
01-11-2014,138.7608948
01-12-2014,282.8293152
01-01-2015,132.6553345
01-02-2015,93.31575775
01-03-2015,86.81047821
01-04-2015,115.082016
01-05-2015,174.17836
01-06-2015,166.6377106
01-07-2015,236.4630432
01-08-2015,233.4258728
01-09-2015,134.4288025
01-10-2015,144.1845245
01-11-2015,108.7883072
01-12-2015,180.4706726
01-01-2016,156.043808
01-02-2016,109.269165
01-03-2016,118.5033035
01-04-2016,130.898819
01-05-2016,143.1926575
01-06-2016,197.354187
01-07-2016,178.9999695
01-08-2016,97.73861694
01-09-2016,91.47058868
01-10-2016,91.06073761
01-11-2016,209.7425079
01-12-2016,161.1177216
01-01-2017,158.4824524
01-02-2017,145.8275146
01-03-2017,129.2441406
01-04-2017,115.4667435
01-05-2017,94.15332031
01-06-2017,99.34968567
01-07-2017,111.6238632
01-08-2017,96.54446411
01-09-2017,96.2201004
01-10-2017,110.9810715
01-11-2017,128.2006836
01-12-2017,157.9962311
01-01-2018,96.98555756
01-02-2018,84.59098053
01-03-2018,91.4545517
01-04-2018,88.65744781
01-05-2018,106.7190552
01-06-2018,94.41992188
01-07-2018,117.4071808
01-08-2018,121.7024612
01-09-2018,126.3019333
01-10-2018,93.87921143
01-11-2018,121.5881882
01-12-2018,132.3369904
01-01-2019,142.3393402
01-02-2019,90.45370483
01-03-2019,107.0958099
01-04-2019,139.2981415
01-05-2019,125.8667831
01-06-2019,153.4214783
01-07-2019,117.0821228
01-08-2019,202.2932281
01-09-2019,208.9186859
01-10-2019,195.6898651
01-11-2019,280.263031
01-12-2019,283.6990662
01-01-2020,210.9532623
01-02-2020,237.5704956
01-03-2020,265.7336121
01-04-2020,314.8587341
01-05-2020,345.6534424
01-06-2020,263.3227844
